ID,PreferredFoot,Height,Weight
213761,Right,180,82
213874,Right,177,75
214009,Right,177,75
214947,Right,186,83
214977,Right,178,67
215057,Right,182,79
215160,Left,184,84
219391,Right,182,76
215441,Right,187,82
215502,Right,188,74
216258,Right,185,80
216435,Right,170,64
216497,Right,183,79
217196,Left,188,87
217877,Left,177,73
218659,Left,183,70
219145,Right,193,83
234128,Left,175,70
235945,Left,184,77
233500,Right,172,60
202851,Left,179,77
202562,Left,175,80
202371,Right,191,90
202282,Right,183,75
201505,Right,183,81
201454,Left,184,80
201377,Right,184,78
201325,Right,198,90
201315,Right,188,86
200536,Left,181,83
200215,Right,179,71
200094,Right,184,78
199641,Right,190,88
199580,Right,191,85
199069,Right,184,82
199005,Right,184,82
198140,Right,186,78
198129,Left,174,74
198118,Right,188,77
197948,Right,189,81
197083,Right,182,80
196147,Left,192,83
202789,Right,190,84
203177,Right,183,78
212153,Right,188,77
203487,Right,188,83
211784,Right,173,69
211575,Right,188,84
211454,Right,181,74
211320,Right,190,84
211147,Right,180,75
210864,Right,182,70
210617,Left,182,67
209440,Right,174,69
209288,Right,170,67
208777,Right,175,70
208004,Right,184,75
207948,Left,181,73
207791,Right,192,84
207664,Right,181,77
232999,Right,175,72
206652,Right,196,90
206493,Left,190,83
206075,Right,193,85
204876,Left,182,69
204341,Right,185,73
203757,Left,184,80
195479,Right,180,75
195272,Right,180,71
194958,Right,175,68
194932,Left,178,73
243388,Left,187,79
243647,Right,198,73
244263,Right,192,83
244621,Left,190,83
244892,Right,175,65
245037,Right,182,76
245155,Left,177,70
245158,Right,185,74
245541,Right,185,79
246172,Left,172,70
246186,Right,186,89
246242,Right,180,75
246420,Right,171,60
247030,Right,172,66
247257,Right,185,73
251116,Right,180,73
251412,Right,174,79
252308,Right,189,83
253109,Right,185,75
253727,Left,189,84
254796,Left,182,70
243282,Left,183,70
243015,Right,182,84
242656,Left,196,74
239901,Right,200,90
194806,Right,188,77
194229,Right,173,69
194022,Right,186,80
238160,Right,190,86
238744,Right,183,84
238857,Right,177,69
238896,Right,175,66
239093,Right,178,67
239482,Right,179,62
240471,Right,168,68
241771,Right,185,80
240690,Left,180,72
240702,Right,191,79
240740,Right,178,79
241049,Right,174,70
241096,Right,181,79
241184,Left,184,78
241202,Right,183,71
241508,Right,180,71
241721,Right,188,81
212067,Left,187,82
207421,Right,172,67
212245,Left,184,81
230331,Right,177,77
232440,Left,179,70
232144,Left,193,89
212501,Right,189,88
232104,Right,171,76
231633,Right,194,92
231628,Right,191,87
231554,Right,183,80
231521,Right,177,67
231318,Left,173,68
231102,Left,180,70
230977,Left,174,70
230965,Right,172,70
230899,Right,174,71
230717,Right,183,71
230431,Right,187,85
230402,Left,178,78
230384,Right,180,75
230379,Right,189,84
230371,Right,178,75
212491,Left,179,70
230349,Left,179,77
230346,Right,176,72
230337,Left,175,68
232862,Right,165,67
230269,Left,174,71
232905,Right,176,66
229773,Left,188,86
229752,Right,184,77
229942,Right,190,86
229971,Right,182,75
230043,Left,170,73
230182,Right,183,77
230197,Right,175,71
230241,Left,165,62
207554,Right,183,79
205391,Right,187,80
205407,Right,182,75
205566,Left,171,65
206003,Right,189,93
206058,Right,182,78
206306,Right,173,73
206115,Right,185,79
206225,Left,179,74
206304,Right,186,80
204308,Left,188,88
206516,Left,185,74
205346,Right,181,74
204529,Right,185,78
205201,Right,191,79
202429,Right,187,85
204277,Right,171,74
204125,Right,175,75
204105,Right,178,78
204077,Right,188,83
203741,Left,180,70
203030,Right,190,77
204691,Right,170,66
202599,Right,170,65
202201,Right,188,83
205186,Right,196,90
201982,Right,179,80
201976,Right,196,80
201956,Right,196,85
201858,Right,173,63
246708,Right,184,76
246785,Left,175,65
204760,Left,185,70
205083,Right,179,71
202685,Left,186,78
212228,Right,187,70
212127,Right,181,66
212204,Right,190,79
216549,Left,194,90
216700,Right,181,80
216939,Right,188,79
217699,Right,188,83
219244,Right,192,90
219681,Left,176,70
220196,Left,183,62
220477,Right,187,80
220570,Right,189,77
220659,Right,180,69
220746,Left,169,68
220831,Right,178,69
221714,Right,177,79
221841,Right,172,69
222368,Right,183,72
222404,Right,179,75
222461,Right,169,69
222515,Right,183,70
222715,Right,173,73
223113,Right,183,77
223154,Right,179,80
223329,Right,184,76
223627,Right,190,86
223690,Right,190,82
224116,Right,190,82
224151,Right,177,80
224158,Right,185,70
216433,Right,188,90
216350,Right,185,79
216065,Right,192,87
213135,Right,189,90
212219,Right,182,81
212232,Right,179,76
212242,Right,187,83
212260,Right,185,82
212269,Right,184,74
212300,Left,191,85
212678,Left,181,72
212692,Left,174,68
212715,Right,163,69
212811,Right,184,85
212883,Right,186,79
212977,Right,190,88
213388,Right,175,70
215785,Right,184,77
214491,Left,178,66
214781,Right,177,76
214988,Right,173,70
215051,Right,187,80
215064,Right,188,88
215108,Right,170,74
215119,Right,167,70
215270,Right,172,70
215399,Right,183,80
215455,Right,193,88
215689,Left,190,85
215699,Right,173,67
206654,Left,193,87
205211,Right,196,84
207557,Right,196,86
225859,Left,190,85
224396,Right,187,92
224520,Right,172,65
224540,Right,175,70
224739,Right,188,77
224869,Right,175,75
225783,Right,182,71
225863,Left,181,68
170320,Right,186,84
225951,Right,180,70
226093,Right,178,70
226229,Right,186,76
226268,Left,175,75
226377,Left,172,75
226853,Right,184,74
2147,Right,197,92
104389,Right,190,86
143121,Right,179,72
146296,Right,187,82
146963,Left,180,79
151508,Right,173,70
152554,Left,176,65
154950,Left,180,75
158625,Left,189,91
162895,Right,179,76
163264,Right,188,85
163925,Left,180,75
164859,Right,176,68
167575,Left,191,88
167959,Right,188,81
168621,Right,182,67
169705,Left,179,85
227222,Right,178,78
227234,Right,185,83
227236,Right,184,78
234574,Right,184,75
236679,Left,167,63
236276,Right,178,74
236264,Right,175,74
236221,Right,178,73
235944,Left,187,76
235875,Right,183,70
235619,Left,168,65
235424,Right,175,70
235183,Right,184,74
235149,Right,185,74
235134,Right,188,73
235008,Right,175,70
234826,Right,187,84
234711,Right,175,70
230280,Right,188,82
207715,Left,178,75
230189,Left,177,76
230065,Right,184,75
230020,Right,186,70
229862,Right,179,67
229517,Right,172,63
229469,Right,163,65
228819,Right,168,66
228789,Right,197,85
228747,Right,175,78
228708,Right,183,78
228635,Right,182,74
228579,Right,183,79
228386,Right,197,90
228092,Right,195,96
169706,Right,184,75
170370,Right,172,74
237043,Left,176,70
194794,Left,190,83
198581,Left,184,84
198368,Right,184,78
198006,Right,178,74
195668,Right,195,90
194879,Right,181,77
194845,Right,176,82
193881,Right,181,75
170719,Left,161,57
193683,Left,178,66
193352,Left,182,77
193331,Right,190,88
193116,Right,187,76
192665,Right,195,85
192641,Right,194,87
198719,Right,173,69
199393,Left,189,89
199561,Right,175,73
199577,Right,185,76
199633,Right,181,78
199745,Right,184,82
199767,Right,186,82
199813,Right,183,82
200110,Right,193,83
200316,Left,192,90
200529,Right,187,85
200677,Right,186,78
201118,Right,172,67
201144,Right,186,80
201262,Right,172,67
201389,Left,185,78
201510,Left,182,74
192593,Right,191,84
192041,Right,188,87
191627,Right,178,72
184826,Right,175,69
170733,Right,179,65
173208,Left,183,75
173474,Right,172,72
176526,Right,188,81
176930,Right,167,68
179765,Right,178,80
181318,Right,186,82
182495,Right,180,78
182945,Right,175,70
183108,Right,179,77
183130,Right,175,74
183569,Right,191,90
184144,Left,174,66
184190,Left,193,84
186098,Right,183,86
190765,Right,181,78
186156,Right,185,72
186190,Left,176,67
186200,Right,180,73
186537,Right,186,76
186627,Right,190,94
187491,Right,186,83
187735,Right,179,75
188955,Right,178,80
189060,Right,186,84
189156,Right,183,84
189251,Right,180,74
189454,Right,174,67
189712,Left,186,78
190362,Right,180,80
236920,Right,172,66
227772,Left,188,82
237135,Right,177,63
233556,Left,183,73
230348,Left,178,75
230373,Right,172,69
230425,Right,179,77
230453,Left,176,76
230457,Right,182,77
230463,Right,178,71
230475,Right,176,72
